song_id,playlist
Changes - 2015 Remastered Version David Bowie,70s Rock Anthems
Who'll Stop The Rain Creedence Clearwater Revival,70s Rock Anthems
Me and Bobby McGee Janis Joplin,70s Rock Anthems
Wild Horses The Rolling Stones,70s Rock Anthems
Imagine - Remastered 2010 John Lennon,70s Rock Anthems
Let It Be - Remastered 2009 The Beatles,70s Rock Anthems
Dream On Aerosmith,70s Rock Anthems
Roxanne - Remastered 2003 The Police,70s Rock Anthems
Highway to Hell AC/DC,70s Rock Anthems
Bang a Gong (Get It On) - Remastered Version T. Rex,70s Rock Anthems
Smoke On the Water Deep Purple,70s Rock Anthems
Black Magic Woman Santana,70s Rock Anthems
Message In A Bottle - Remastered 2003 The Police,70s Rock Anthems
Free Bird Lynyrd Skynyrd,70s Rock Anthems
Cocaine Eric Clapton,70s Rock Anthems
Lola - Coca Cola Version The Kinks,70s Rock Anthems
Black Dog Led Zeppelin,70s Rock Anthems
Blitzkrieg Bop - 2016 Remastered Version Ramones,70s Rock Anthems
I Want You to Want Me Cheap Trick,70s Rock Anthems
Black Diamond KISS,70s Rock Anthems
Blinded By The Light Manfred Mann's Earth Band,70s Rock Anthems
American Girl Tom Petty and the Heartbreakers,70s Rock Anthems
Brain Damage Pink Floyd,70s Rock Anthems
Comfortably Numb Pink Floyd,70s Rock Anthems
Born to Run Bruce Springsteen,70s Rock Anthems
Layla - 40th Anniversary Version / 2010 Remastered Derek & The Dominos,70s Rock Anthems
Just What I Needed The Cars,70s Rock Anthems
Anarchy In The U.K. Sex Pistols,70s Rock Anthems
American Pie Don McLean,70s Rock Anthems
Aqualung Jethro Tull,70s Rock Anthems
Won't Get Fooled Again - Original Album Version The Who,70s Rock Anthems
Iron Man - Remastered Version Black Sabbath,70s Rock Anthems
The Boys Are Back in Town Thin Lizzy,70s Rock Anthems
Walk This Way Aerosmith,70s Rock Anthems
Maggie May - Remastered Version Rod Stewart,70s Rock Anthems
The Joker Steve Miller Band,70s Rock Anthems
We Will Rock You - Remastered Queen,70s Rock Anthems
Walk On the Wild Side Lou Reed,70s Rock Anthems
Brown Sugar The Rolling Stones,70s Rock Anthems
American Woman - Remastered The Guess Who,70s Rock Anthems
(Don't Fear) The Reaper Blue Öyster Cult,70s Rock Anthems
Heart of Gold Neil Young,70s Rock Anthems
Running On Empty Jackson Browne,70s Rock Anthems
Sultans Of Swing Dire Straits,70s Rock Anthems
"Rocket Man (I Think It's Going To Be A Long, Long Time) Elton John",70s Rock Anthems
Dreams - 2004 Remastered Edition Fleetwood Mac,70s Rock Anthems
We Are The Champions - Remastered 2011 Queen,70s Rock Anthems
You Ain't Seen Nothing Yet Bachman-Turner Overdrive,70s Rock Anthems
"Another Brick in the Wall, Pt. 1 Pink Floyd",70s Rock Anthems
Roundabout - Remastered Version Yes,70s Rock Anthems
Ramblin' Man The Allman Brothers Band,70s Rock Anthems
Fire And Rain James Taylor,70s Rock Anthems
My Sweet Lord George Harrison,70s Rock Anthems
Baba O'Riley The Who,70s Rock Anthems
Heart Of Glass - Special Mix Blondie,70s Rock Anthems
My Sharona The Knack,70s Rock Anthems
Bennie And The Jets - Remastered 2014 Elton John,70s Rock Anthems
Baby Hold On Eddie Money,70s Rock Anthems
Tangled up in Blue Bob Dylan,70s Rock Anthems
Runnin' With The Devil - 2015 Remastered Version Van Halen,70s Rock Anthems
2112: Overture / The Temples Of Syrinx / Discovery / Presentation / Oracle / Soliloquy / Grand Finale - Medley Rush,70s Rock Anthems
All the Young Dudes Mott The Hoople,70s Rock Anthems
All Right Now Free,70s Rock Anthems
Backstreets Bruce Springsteen,70s Rock Anthems
Barracuda Heart,70s Rock Anthems
Ballroom Blitz Sweet,70s Rock Anthems
Black Betty Ram Jam,70s Rock Anthems
Beast Of Burden - Remastered The Rolling Stones,70s Rock Anthems
Band On The Run - Remastered 2010 Paul McCartney,70s Rock Anthems
Breakdown Tom Petty and the Heartbreakers,70s Rock Anthems
Carry on Wayward Son Kansas,70s Rock Anthems
Cat Scratch Fever Ted Nugent,70s Rock Anthems
Bridge Over Troubled Water Simon & Garfunkel,70s Rock Anthems
Caravan Van Morrison,70s Rock Anthems
Can't Get Enough - Remastered Version Bad Company,70s Rock Anthems
Cheap Sunglasses ZZ Top,70s Rock Anthems
