song_id,song_name,artist_name,song_single,song_released,song_genre,song_label,song_songwriter,song_producer
Wasteland The Mission,Wasteland,The Mission,0,1986,rock,mercury,NA,"tim palmer, the mission"
The High Road The Feelies,The High Road,The Feelies,0,1986,"alt,rock,punk,pop",coyote/twin/tone records rough trade ,NA,"glenn mercer, bill million, peter buck"
Rattlesnakes Lloyd Cole and the Commotions,Rattlesnakes,Lloyd Cole and the Commotions,1,1984,pop,polydor geffen ,NA,paul hardiman
Changeling Simple Minds,Changeling,Simple Minds,1,1979,"rock,punk","zoom,arista",NA,john leckie
Dreiklangsdimensionen Rheingold,Dreiklangsdimensionen,Rheingold,NA,NA,NA,NA,NA,NA
She's in Parties Bauhaus,She's in Parties,Bauhaus,1,1983,"rock,punk",beggars banquet,bauhaus ,NA
Play For Today The Cure,Play For Today,The Cure,1,1980,rock,fiction a&m elektra ,NA,"mike hedges,robert smith"
Regiment - 2006 Digital Remaster Brian Eno,Regiment - 2006 Digital Remaster,Brian Eno,1,1981,rock,"sire,e.g.",NA,"brian eno,david byrne"
I Scare Myself Thomas Dolby,I Scare Myself,Thomas Dolby,0,1984,other,"emi, capitol records",NA,thomas dolby
O La La La TC Matic,O La La La,TC Matic,NA,NA,rock,NA,NA,NA
Film 2 Grauzone,Film 2,Grauzone,NA,NA,"pop,hip,hop,r&b","epic,sony,mjj",NA,"michael jackson,jimmy jam & terry lewis,dallas austin,bruce swedien,ren� moore,david foster,bill bottrell"
My Spine Is The Bassline Shriekback,My Spine Is The Bassline,Shriekback,NA,NA,punk,"y records, arista, island, capitol",NA,NA
Kristallnaach BAP,Kristallnaach,BAP,NA,NA,"rock,pop,hip,hop,r&b","ts,king",NA,NA
Oblivious Aztec Camera,Oblivious,Aztec Camera,1,1983,pop,rough trade/sire,roddy frame,"bernie clarke, john brand"
When Love Breaks Down Prefab Sprout,When Love Breaks Down,Prefab Sprout,1,2007,pop,kitchenware,paddy mcaloon,phil thornalley
Der Mussolini - 1998 - Remaster DAF,Der Mussolini - 1998 - Remaster,DAF,0,1981,"punk,elect",virgin,NA,"konrad ""conny"" plank"
When It's Over Wipers,When It's Over,Wipers,0,1981,"rock,punk",park avenue,NA,greg sage
